id,date,0.0
29192016,2015-04-05,0.9708
29673619,2015-04-11,0.9081
29862115,2015-04-13,0.9465
30309054,2015-04-20,0.807
30765093,2015-04-27,0.9924
31514909,2015-05-06,0.9878
31707279,2015-05-09,0.9588
32172034,2015-05-15,0.9946
32234408,2015-05-16,0.9569
32930678,2015-05-23,0.845
32963056,2015-05-24,0.948
33382919,2015-05-27,0.9869
33553836,2015-05-29,0.9772
33752392,2015-05-31,0.9952
33942923,2015-06-02,0.8746
34440332,2015-06-08,0.9854
34993570,2015-06-14,0.9254
35564882,2015-06-20,0.8908
35871848,2015-06-22,0.9616
36546072,2015-06-29,0.988
37175228,2015-07-05,0.933
37985077,2015-07-12,0.9896
38729022,2015-07-18,0.9715
39608406,2015-07-25,0.9964
40370143,2015-07-30,0.9318
41498480,2015-08-07,0.9401
42726645,2015-08-15,0.987
43616367,2015-08-21,0.9865
43931737,2015-08-23,0.982
44486054,2015-08-26,0.9717
45108036,2015-08-31,0.9621
45795921,2015-09-06,0.9302
46253028,2015-09-08,0.9388
46517144,2015-09-11,0.9972
46937963,2015-09-14,0.9672
47496338,2015-09-19,0.9855
47688642,2015-09-21,0.9883
48233454,2015-09-24,0.9636
48555806,2015-09-27,0.624
49290009,2015-10-02,-0.9485
49574108,2015-10-04,0.9336
49942349,2015-10-07,0.9574
50123342,2015-10-09,0.9617
50864917,2015-10-15,0.9153
51027716,2015-10-17,0.9876
51281053,2015-10-19,0.9649
51625109,2015-10-22,0.9324
52126190,2015-10-26,0.9699
52352900,2015-10-28,0.8169
52527386,2015-10-30,0.9806
52713413,2015-11-01,0.9818
53335014,2015-11-08,0.9943
53960040,2015-11-15,0.9599
54711212,2015-11-23,0.9751
54975101,2015-11-27,0.9804
56018916,2015-12-08,0.8832
56957052,2015-12-20,0.9781
57228374,2015-12-23,0.97
57458505,2015-12-26,0.9661
58022581,2015-12-31,0.9432
58332606,2016-01-02,0.974
58964684,2016-01-05,0.9892
59356328,2016-01-10,0.9581
59923108,2016-01-17,0.6588
60746523,2016-01-26,-0.4898
61081897,2016-01-31,0.9946
61866451,2016-02-08,0.928
62303615,2016-02-13,0.34
62524835,2016-02-15,0.9883
63173163,2016-02-21,0.835
63805389,2016-02-27,0.9753
64520504,2016-03-05,0.996
64914490,2016-03-09,0.9564
65089004,2016-03-10,0.9371
65346023,2016-03-13,0.7874
65717179,2016-03-16,0.9311
66444526,2016-03-22,0.926
66956299,2016-03-25,0.9777
67197843,2016-03-27,0.9196
68089037,2016-04-02,0.8477
68822753,2016-04-06,0.9747
69008143,2016-04-08,0.9835
69239396,2016-04-10,0.784
